,,,,,,,,
,TRANSACTION,,,,,,,
,,,,,,,,
,,,,,,,,
,Month,Date,Actual ,Type,Category,Items,Amount,Description
,A2601,1/1/2026,1/1/2026,Income,0,Salary-Albert,"19,700,000",
,A2601,1/2/2026,1/2/2026,Expense,Fixed,Pocket,"1,500,000",Albert
,A2601,1/1/2026,,Expense,Fixed,Ma2,"2,000,000",
,A2601,1/1/2026,,Expense,Fixed,Ben noi,"1,000,000",
,A2601,1/1/2026,,Expense,Fixed,Pocket,"1,500,000",Annie
,A2601,1/1/2026,,Expense,Unexpected,Clothes,"2,000,000",Annie
,A2601,1/1/2026,,Expense,Meal,Eating out,"150,000",
,A2601,1/1/2026,,Expense,Meal,Eating out,"80,000",12/27/2025-trả albert
,A2601,1/1/2026,,Expense,Meal,Market-Aeon,"735,410",
,A2601,1/1/2026,,Expense,Unexpected,Cosmetic,"289,600",
,A2601,1/1/2026,,Expense,Unexpected,Unexpected,"66,500",viet so annie
,A2601,1/1/2026,,Expense,Fixed,Milk,"965,000",
,A2601,1/1/2026,,Expense,Unexpected,Unexpected,"1,040,000",12/28
,A2601,1/1/2026,,Expense,Fixed,Water,"121,000",trả albert
,A2601,1/1/2026,12/25/2025,Income,0,Salary-Annie,"19,000,000",
,A2601,1/1/2026,,Expense,Fixed,Diapers,"279,000",
,A2601,1/1/2026,,Expense,Meal,Eating out,"199,000",cua
,A2601,1/1/2026,,Expense,Unexpected,Unexpected,"463,000",sac dt
,A2601,1/1/2026,,Expense,Meal,Eating out,"30,000",
,A2601,1/2/2026,,Expense,Unexpected,Unexpected,"969,000",ve ngoia
,A2601,1/4/2026,,Expense,Unexpected,Unexpected,"1,110,000",nui ba den
,A2601,1/2/2026,,Expense,Fixed,Ben ngoai,"500,000",
,A2601,1/2/2026,,Expense,Unexpected,Cosmetic,"55,500",
,A2601,1/4/2026,,Expense,Meal,Market-Aeon,"85,000",gao
,A2601,1/5/2026,,Expense,Meal,Eating out,"40,000",
,A2601,1/3/2026,,Expense,Fixed,Wifi,"180,000",
,A2601,1/6/2026,,Expense,Fixed,EVN,"305,000",
,A2601,1/6/2026,,Expense,Fixed,SHP,"280,000",
